Symbol, StockName,Sector,Industry,Currency,Board
2S,2S METAL PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
7UP,SEVEN UTILITIES AND POWER PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
A,AREEYA PROPERTY PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
A5,ASSET FIVE GROUP PUBLIC COMPANY LIMITED,Services,-,THB,mai
AAV,ASIA AVIATION PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
ABICO,ABICO HOLDINGS PUBLIC COMPANY LIMITED,Agro & Food Industry,-,THB,mai
ABM,ASIA BIOMASS PUBLIC COMPANY LIMITED,Resources,-,THB,mai
ABPIF,AMATA B. GRIMM POWER POWER PLANT INFRASTRUCTURE FUND,Resources,Energy & Utilities,THB,SET
ACAP,ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED,Financials,-,NaN,mai
ACC,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED,Consumer Products,Home & Office Products,THB,SET
ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
ACG,AUTOCORP HOLDING PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
ADB,APPLIED DB PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
AEC,AEC SECURITIES PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
AEONTS,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
AF,AIRA FACTORING PUBLIC COMPANY LIMITED,Financials,-,NaN,mai
AFC,ASIA FIBER PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
AGE,ASIA GREEN ENERGY PUBLIC COMPANY LIMITED,Resources,-,THB,mai
AH,AAPICO HITECH PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
AHC,AIKCHOL HOSPITAL PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
AI,ASIAN INSULATORS PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
AIE,AI ENERGY PUBLIC COMPANY LIMITED,Resources,-,THB,mai
AIMCG,AIM COMMERCIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
AIMIRT,AIM INDUSTRIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
AIRA,AIRA CAPITAL PUBLIC COMPANY LIMITED,Financials,-,NaN,mai
AIT,"ADVANCED INFORMATION TECHNOLOGY PUBLIC CO.,LTD.",Technology,Information & Communication Technology,THB,SET
AJ,A.J. PLAST PUBLIC COMPANY LIMITED,Industrials,Packaging,THB,SET
AJA,AJ ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED,Consumer Products,Home & Office Products,THB,SET
AKP,AKKHIE PRAKARN PUBLIC COMPANY LIMITED,Services,-,THB,mai
AKR,EKARAT ENGINEERING PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
ALL,ALL INSPIRE DEVELOPMENT PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
ALLA,ALLA PUBLIC COMPANY LIMITED,Industrials,Industrial Materials & Machinery,THB,SET
ALT,ALT TELECOM PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
ALUCON,ALUCON PUBLIC COMPANY LIMITED,Industrials,Packaging,THB,SET
AMA,AMA MARINE PUBLIC COMPANY LIMITED,Services,-,THB,mai
AMANAH,AMANAH LEASING PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
AMARIN,AMARIN PRINTING AND PUBLISHING PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
AMATA,AMATA CORPORATION PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
AMATAR,AMATA SUMMIT GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
AMATAV,AMATA VN PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
AMC,ASIA METAL PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
ANAN,ANANDA DEVELOPMENT PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
AP,AP (THAILAND) PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
APCO,ASIAN PHYTOCEUTICALS PUBLIC COMPANY LIMITED,Consumer Products,Personal Products & Pharmaceuticals,THB,SET
APCS,ASIA PRECISION PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
APEX,APEX DEVELOPMENT PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
APP,APPLICAD PUBLIC COMPANY LIMITED,Technology,-,THB,mai
APURE,AGRIPURE HOLDINGS PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
AQ,AQ ESTATE PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
AQUA,AQUA CORPORATION PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
ARIN,ARINSIRI LAND PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
ARIP,ARIP PUBLIC COMPANY LIMITED,Services,-,THB,mai
ARROW,ARROW SYNDICATE PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
AS,ASIASOFT CORPORATION PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
ASAP,SYNERGETIC AUTO PERFORMANCE PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
ASEFA,ASEFA PUBLIC COMPANY LIMITED,Industrials,Industrial Materials & Machinery,THB,SET
ASIA,ASIA HOTEL PUBLIC COMPANY LIMITED,Services,Tourism & Leisure,THB,SET
ASIAN,ASIAN SEA CORPORATION PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
ASIMAR,ASIAN MARINE SERVICES PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
ASK,ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
ASN,ASN BROKER PUBLIC COMPANY LIMITED,Financials,-,NaN,mai
ASP,ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
ATP30,ATP30 PUBLIC COMPANY LIMITED,Services,-,THB,mai
AU,AFTER YOU PUBLIC COMPANY LIMITED,Agro & Food Industry,-,THB,mai
AUCT,UNION AUCTION PUBLIC COMPANY LIMITED,Services,-,THB,mai
AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
AYUD,ALLIANZ AYUDHYA CAPITAL PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
B,BEGISTICS PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
B52,B-52 CAPITAL PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
BA,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
BAFS,BANGKOK AVIATION FUEL SERVICES PCL.,Resources,Energy & Utilities,THB,SET
BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
BANPU,BANPU PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,USD,SET
BAT-3K,HITACHI CHEMICAL STORAGE BATTERY (THAILAND) PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
BAY,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,Financials,Banking,NaN,SET
BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,Financials,Banking,NaN,SET
BC,BOUTIQUE CORPORATION PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
BCH,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
BCP,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
BCPG,BCPG PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
BCT,BIRLA CARBON (THAILAND) PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,THB,SET
BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
BEAUTY,BEAUTY COMMUNITY PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
BEC,BEC WORLD PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
BEM,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
BFIT,SRISAWAD FINANCE PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
BGC,BG CONTAINER GLASS PUBLIC COMPANY LIMITED,Industrials,Packaging,THB,SET
BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
BGT,BGT CORPORATION PUBLIC COMPANY LIMITED,Consumer Products,-,THB,mai
BH,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
BIG,BIG CAMERA CORPORATION PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
BIZ,BUSINESS ALIGNMENT PUBLIC COMPANY LIMITED,Consumer Products,-,THB,mai
BJC,BERLI JUCKER PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
BJCHI,BJC HEAVY INDUSTRIES PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
BKD,BANGKOK DEC-CON PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
BKER,BUALUANG K.E. RETAIL LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
BKI,BANGKOK INSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
BKKCP,BANGKOK COMMERCIAL PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
BLA,BANGKOK LIFE ASSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
BLAND,BANGKOK LAND PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
BLISS,BLISS-TEL PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
BM,BANGKOK SHEET METAL PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
BOFFICE,BHIRAJ OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
BOL,BUSINESS ONLINE PUBLIC COMPANY LIMITED,Services,-,THB,mai
BPP,BANPU POWER PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
BR,BANGKOK RANCH PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
BROCK,BAAN ROCK GARDEN PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
BROOK,THE BROOKER GROUP PUBLIC COMPANY LIMITED,Financials,-,NaN,mai
BRR,BURIRAM SUGAR PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
BRRGIF,BURIRAM SUGAR GROUP POWER PLANT INFRASTRUCTURE FUND,Resources,Energy & Utilities,THB,SET
BSBM,BANGSAPHAN BARMILL PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
BSM,BUILDERSMART PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
BTNC,BOUTIQUE NEWCITY PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
BTSGIF,BTS RAIL MASS TRANSIT GROWTH INFRASTRUCTURE FUND,Services,Transportation & Logistics,THB,SET
BTW,BT WEALTH INDUSTRIES PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
